DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
187_MX2005,MX2005,MX2005,MX,Removable,Flat Springs or Coil Springs,2000,Yes,12 GA,,Unsingle,Trap,Adjustable,5,24mm,Notch,,
188_MX2005,MX2005,MX2005,MX,Removable,Flat Springs or Coil Springs,2000,,12 GA,,Unsingle,Trap,Adjustable,5,24mm,Notch,,
189_MX2005,MX2005,MX2005,MX,Removable,Flat Springs or Coil Springs,2000,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
190_MX28,MX28,MX28,MX,Fixed,Coil Springs,SC2,,28 GA,,Over / Under,Game,Fixed,,,,,
191_MX28_B,MX28 B,MX28,MX,Fixed,Coil Springs,Standard,,28 GA,,Over / Under,Game,Fixed,,,,,
192_MX28_SC3,MX28 SC3,MX28,MX,Fixed,Coil Springs,SC3,,28 GA,,Over / Under,Game,Fixed,,,,,
193_MX28_SC3_Gold_Sideplates,MX28 SC3 Gold Sideplates,MX28,MX,Fixed,Coil Springs,SC3 Gold Sideplates,,28 GA,,Over / Under,Game,Fixed,,,,,
194_MX28_SC3_Sideplates,MX28 SC3 Sideplates,MX28,MX,Fixed,Coil Springs,SC3 Sideplates,,28 GA,,Over / Under,Game,Fixed,,,,,
195_MX28_SCO,MX28 SCO,MX28,MX,Fixed,Coil Springs,SCO,,28 GA,,Over / Under,Game,Fixed,,,,,
196_MX28_SCO_Gold,MX28 SCO Gold,MX28,MX,Fixed,Coil Springs,SCO Gold,,28 GA,,Over / Under,Game,Fixed,,,,,
197_MX28_SCO_Gold_Sideplates,MX28 SCO Gold Sideplates,MX28,MX,Fixed,Coil Springs,SCO Gold Sideplates,,28 GA,,Over / Under,Game,Fixed,,,,,
198_MX28_SCO_Sideplates,MX28 SCO Sideplates,MX28,MX,Fixed,Coil Springs,SCO Sideplates,,28 GA,,Over / Under,Game,Fixed,,,,,
199_MX410,MX410,MX410,MX,Fixed,Coil Springs,SC2,,410 GA,,Over / Under,Game,Fixed,,,,,
200_MX410_B,MX410 B,MX410,MX,Fixed,Coil Springs,Standard,,410 GA,,Over / Under,Game,Fixed,,,,,
201_MX410_SC3,MX410 SC3,MX410,MX,Fixed,Coil Springs,SC3,,410 GA,,Over / Under,Game,Fixed,,,,,
202_MX410_SC3_Gold_Sideplates,MX410 SC3 Gold Sideplates,MX410,MX,Fixed,Coil Springs,SC3 Gold Sideplates,,410 GA,,Over / Under,Game,Fixed,,,,,
203_MX410_SC3_Sideplates,MX410 SC3 Sideplates,MX410,MX,Fixed,Coil Springs,SC3 Sideplates,,410 GA,,Over / Under,Game,Fixed,,,,,
204_MX410_SCO,MX410 SCO,MX410,MX,Fixed,Coil Springs,SCO,,410 GA,,Over / Under,Game,Fixed,,,,,
205_MX410_SCO_Gold,MX410 SCO Gold,MX410,MX,Fixed,Coil Springs,SCO Gold,,410 GA,,Over / Under,Game,Fixed,,,,,
206_MX410_SCO_Gold_Sideplates,MX410 SCO Gold Sideplates,MX410,MX,Fixed,Coil Springs,SCO Gold Sideplates,,410 GA,,Over / Under,Game,Fixed,,,,,
207_MX410_SCO_Sideplates,MX410 SCO Sideplates,MX410,MX,Fixed,Coil Springs,SCO Sideplates,,410 GA,,Over / Under,Game,Fixed,,,,,
208_MX8,MX8,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
209_MX8,MX8,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
210_MX8,MX8,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
211_MX8,MX8,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
212_MX8_SC2,MX8 SC2,MX8,MX,Removable,Flat Springs or Coil Springs,SC2,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
213_MX8_SC3,MX8 SC3,MX8,MX,Removable,Flat Springs or Coil Springs,SC3,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
214_MX8_SC3,MX8 SC3,MX8,MX,Removable,Flat Springs or Coil Springs,SC3,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
215_MX8_SC3,MX8 SC3,MX8,MX,Removable,Flat Springs or Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
216_MX8_SC3_Gold,MX8 SC3 Gold,MX8,MX,Removable,Flat Springs or Coil Springs,SC3 Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
217_MX8_SC3_Gold,MX8 SC3 Gold,MX8,MX,Removable,Flat Springs or Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
218_MX8_SC3_Sideplates,MX8 SC3 Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SC3 Sideplates,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
219_MX8_SCO,MX8 SCO,MX8,MX,Removable,Flat Springs or Coil Springs,SCO,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
220_MX8_SCO,MX8 SCO,MX8,MX,Removable,Flat Springs or Coil Springs,SCO,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
221_MX8_SCO,MX8 SCO,MX8,MX,Removable,Flat Springs or Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
