DATABASE_ID_SANITY,MODEL_NAME_SANITY,BASE_MODEL_SANITY,PLATFORM_SANITY,TRIGGER_TYPE_SANITY,TRIGGER_GROUP_SPRINGS_SANITY,GRADE_SANITY,COMBO_SANITY,COMBO_TYPE_SANITY,GAUGE_1_SANITY,GAUGE_2_SANITY,BARREL_CONFIG_SANITY,DISCIPLINE_SANITY,RIB_TYPE_SANITY,RIB_ADJUSTABLE_NOTCH_SANITY,RIB_HEIGHT_SANITY,RIB_STYLE_1_SANITY,RIB_STYLE_2_SANITY,RIB_STYLE_3_SANITY,CATEGORY_SANITY,IMAGE_LOCAL_PATH,IMAGE_FALLBACK_PATH,SOURCE_URL
16_High_Tech_Skeet,High Tech Skeet,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,20 GA,Over / Under,Skeet,Fixed,,,Flat,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-skeet.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-skeet-intero.jpg,https://www.perazzi.it/en/high-tech-skeet.php
17_High_Tech_X,High Tech X,High Tech,HT,Removable,Flat Springs or Coil Springs,X,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-x.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-x-intero.jpg,https://www.perazzi.it/en/high-tech-x.php
18_MX1,MX1,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Over / Under,Pigeon & Helice,Fixed,,,Flat,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx1.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX1-intero.jpg,https://www.perazzi.it/en/mx1.php
19_MX10_Trap,MX10,,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,Trap,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx10-b.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX10-B-intero.jpg,https://www.perazzi.it/en/mx10-b.php
20_MX10,MX10,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx10-a.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX10-A-intero.jpg,https://www.perazzi.it/en/mx10-a.php
21_MX10RS_Trap,MX10RS,,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,Trap,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx10rs-b.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX10RS-B-intero.jpg,https://www.perazzi.it/en/mx10rs-b.php
22_MX10RS,MX10RS,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx10rs-a.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX10RS-A-intero.jpg,https://www.perazzi.it/en/mx10rs-a.php
23_MX12_Sub-Gauge_Carrier,MX12,,MX,Fixed,Coil Springs,Standard,Yes,Sub-Gauge (Carrier),12 GA,20 GA,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx12-b.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX12-B-intero.jpg,https://www.perazzi.it/en/mx12-b.php
24_MX12_SCO_Sideplates,MX12,,MX,Fixed,Coil Springs,SCO Sideplates,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-sco-sideplates.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-SCO-Cartelle-intero.jpg,https://www.perazzi.it/en/mx12-sco-sideplates.php
25_MX12_SCO,MX12,,MX,Fixed,Coil Springs,SCO,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-sco.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-SCO-intero.jpg,https://www.perazzi.it/en/mx12-sco.php
26_MX12_SC3,MX12,,MX,Fixed,Coil Springs,SC3,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-sc3.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-SC3-intero.jpg,https://www.perazzi.it/en/mx12-sc3.php
27_MX12_SC2,MX12,,MX,Fixed,Coil Springs,SC2,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-sc2.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-SC2-intero.jpg,https://www.perazzi.it/en/mx12-sc2.php
28_MX12_Extra_Super,MX12,,MX,Fixed,Coil Springs,Extra Super,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-extra-super.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-Extra-Super-intero.jpg,https://www.perazzi.it/en/mx12-extra-super.php
29_MX12_Extra_Gold,MX12,,MX,Fixed,Coil Springs,Extra Gold,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-extra-oro.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-Extra-Oro-intero.jpg,https://www.perazzi.it/en/mx12-extra-oro.php
30_MX12_Extra,MX12,,MX,Fixed,Coil Springs,Extra,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx12-extra.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX12-Extra-intero.jpg,https://www.perazzi.it/en/mx12-extra.php
31_MX12,MX12,,MX,Fixed,Coil Springs,Standard,,,12 GA,20 GA,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx12-a.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX12-A-intero.jpg,https://www.perazzi.it/en/mx12-a.php
32_MX12/3,MX12/3,,MX,Fixed,Coil Springs,Standard,,,12 GA,20 GA,Over / Under,Sporting,Adjustable,3,8mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx12-3.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX12-3-intero.jpg,https://www.perazzi.it/en/mx12-3.php
33_MX14_Lusso_Trap,MX14,,MX,Removable,Flat Springs or Coil Springs,Lusso,Yes,Trap,12 GA,20 GA,Unsingle,Trap,Fixed,,4mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx14l.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX14L-intero.jpg,https://www.perazzi.it/en/mx14l.php
34_MX14_Trap,MX14,,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,Trap,12 GA,20 GA,Unsingle,Trap,Fixed,,4mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx14.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX14-intero.jpg,https://www.perazzi.it/en/mx14.php
35_MX15_Lusso,MX15,,MX,Removable,Flat Springs or Coil Springs,Lusso,,,12 GA,,Unsingle,Trap,Adjustable,6,5mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx15l.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX15L-intero.jpg,https://www.perazzi.it/en/mx15l.php
36_MX15,MX15,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Unsingle,Trap,Adjustable,6,5mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx15.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX15-intero.jpg,https://www.perazzi.it/en/mx15.php
37_MX20_SCO_Sideplates,MX20,,MX,Fixed,Coil Springs,SCO Sideplates,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-sco-sideplates.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-SCO-Cartelle-intero.jpg,https://www.perazzi.it/en/mx20-sco-sideplates.php
38_MX20_SCO,MX20,,MX,Fixed,Coil Springs,SCO,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-sco.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-SCO-intero.jpg,https://www.perazzi.it/en/mx20-sco.php
39_MX20_SC3,MX20,,MX,Fixed,Coil Springs,SC3,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-sc3.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-SC3-intero.jpg,https://www.perazzi.it/en/mx20-sc3.php
40_MX20_SC2,MX20,,MX,Fixed,Coil Springs,SC2,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-sc2.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-SC2-intero.jpg,https://www.perazzi.it/en/mx20-sc2.php
